JEWETT FLD AP (MI),54822,,Lat: 42.5658,Lon: -84.4331,Elev: 922 ft,,,
Date,Hr,Min,Temp (F),Wind Spd (mph),Wind Direction (deg),Peak WindGust(mph),Low Cloud Ht (ft),Visibility (mi)
03/11/21, 6,35,58,5,190,18*,3900,10,either
03/11/21, 7,55,60,5,190,22*,3200,10,either
03/11/21,18,55,48,15,270,23,3900*,10,
03/12/21, 6,35,35,3,250,0*,3900*,10,either
03/12/21, 7,15,35,3,250,0*,3900*,10,either
03/12/21, 7,35,36,5,250,0*,3900*,10,either
03/12/21, 7,55,37,5,260,0*,3900*,10,either
03/12/21, 8,15,38,7,260,0*,3900*,10,
03/12/21, 8,35,39,7,270,0*,3900*,10,
03/12/21, 8,55,40,11,280,0*,3900*,10,
03/12/21, 9,15,42,10,270,0*,3900*,10,
03/12/21, 9,35,44,10,260,16,3900*,10,
03/12/21, 9,55,46,15,280,16*,3900*,10,
03/12/21,10,55,47,17,280,23,3900*,10,
03/12/21,16,55,46,17,290,21,3900*,10,
03/12/21,17,15,44,15,280,22,3900*,10,
03/12/21,17,35,43,16,280,22,3900*,10,
03/12/21,18,15,41,14,280,18,3900*,10,
03/13/21,10,15,35,3,220,22*,3900*,10,either
03/13/21,10,55,38,5,270,22*,3900*,10,either
03/13/21,16,15,52,10,290,17,3900*,10,
03/14/21, 8,35,40,5,350,18*,3900*,10,either
03/15/21,15,15,36,15,110,23,3900*,10,
03/15/21,15,35,35,16,110,23*,3900*,10,
03/16/21,11,55,40,0,0,23*,2100,10,either
03/16/21,12,15,40,0,0,23*,2100,10,either
03/16/21,12,35,40,3,320,23*,2100,10,either
03/16/21,12,55,42,0,0,23*,2100,10,either
03/16/21,13,15,42,0,0,23*,2300,10,either
03/16/21,13,35,43,3,300,23*,2500,10,either
03/16/21,13,55,43,0,0,23*,2500,10,either
03/16/21,14,15,44,0,0,23*,2500,10,either
03/16/21,14,35,46,0,0,23*,2500,10,either
03/16/21,14,55,45,3,330,23*,2700,10,either
03/16/21,15,15,44,3,320,23*,2700,10,either
03/16/21,15,35,45,5,330,23*,2700,10,either
03/16/21,15,55,46,3,340,23*,2900,10,either
03/16/21,16,55,46,5,240,23*,2900,10,either
03/17/21,10,35,43,5,120,23*,2300*,10,either
03/17/21,11,15,46,5,140,23*,2300*,10,either
03/17/21,11,35,47,0,0,23*,2300*,10,either
03/17/21,11,55,48,0,0,23*,2300*,10,either
03/17/21,12,15,49,0,0,23*,2300*,10,either
03/17/21,12,35,51,5,160,23*,2300*,10,either
03/17/21,14,15,56,5,160,23*,2300*,10,either
03/17/21,14,55,57,5,220,23*,2300*,10,either
03/17/21,15,15,57,3,230,23*,2300*,10,either
03/17/21,15,55,58,0,0,23*,2300*,10,either
03/17/21,16,15,58,3,210,23*,2300*,10,either
03/17/21,16,35,58,0,0,23*,2300*,10,either
03/17/21,16,55,58,0,0,23*,2300*,10,either
03/19/21,12,55,43,11,80,16,3000*,10,
03/19/21,13,35,45,13,80,16*,3000*,10,
03/19/21,15,35,48,5,90,16*,3000*,10,either
03/19/21,16,35,48,10,100,17,3000*,10,
03/19/21,16,55,47,5,70,17,3000*,10,either
03/19/21,17,15,47,0,0,17*,3000*,10,either
03/19/21,17,55,46,5,70,17*,3000*,10,either
03/19/21,18,15,46,3,70,17*,3000*,10,either
03/19/21,18,35,44,3,60,17*,3000*,10,either
03/19/21,18,55,42,0,0,17*,3000*,10,either
03/19/21,19,15,42,0,0,17*,3000*,10,either
03/20/21, 9,35,39,5,160,17*,7220,10,either
03/20/21,11,35,48,5,160,16*,7220,10,either
03/20/21,13,15,53,5,150,16*,7220,10,either
03/20/21,14,35,54,5,140,16*,7220,10,either
03/20/21,15,15,56,5,130,16*,7220,10,either
03/20/21,15,55,56,3,210,16*,7220,10,either
03/20/21,16,15,56,5,190,16*,7220,10,either
03/20/21,17,15,56,3,210,16*,7220*,10,either
03/21/21,17,15,62,5,200,21,7220*,10,either
03/22/21, 6,35,37,0,0,16*,7220*,10,either
03/22/21, 6,55,38,0,0,16*,7220*,10,either
03/22/21, 7,15,39,0,0,16*,7220*,10,either
03/22/21, 7,35,41,0,0,16*,7220*,10,either
03/22/21, 7,55,43,0,0,16*,7220*,10,either
03/22/21,18,35,63,3,170,20*,7000,10,either
03/22/21,18,55,62,0,0,20*,7000,10,either
03/22/21,19,15,61,0,0,20*,7000,10,either
03/23/21, 6,15,51,10,110,0*,8000,10,
03/23/21, 6,35,50,9,120,0*,8000,10,
03/23/21, 6,55,50,8,140,0*,8000,10,
03/23/21, 7,35,52,7,130,0*,9000,10,
03/23/21, 8,55,54,8,140,0*,8500,10,
03/23/21, 9,15,54,10,130,0*,8500,10,
03/23/21, 9,55,57,13,160,0*,8500,10,either
03/23/21,10,15,58,9,130,0*,9500,10,
03/23/21,10,35,59,13,120,17,9500,10,
03/25/21, 6,15,44,3,260,18*,2000*,10,either
03/25/21, 6,35,44,3,300,18*,2000*,10,either
03/25/21, 6,55,43,5,360,18*,2000*,10,either
03/25/21, 7,15,43,3,180,18*,2000*,10,either
03/25/21, 7,35,44,0,0,18*,2000*,10,either
03/25/21, 9,55,50,3,240,18*,2000,10,either
03/25/21,10,15,51,5,190,18*,2000,10,either
03/25/21,11,15,53,0,0,18*,2400*,10,either
03/25/21,12,55,57,5,30,18*,2400*,10,either
03/25/21,13,35,59,5,210,18*,7220,10,either
03/25/21,13,55,59,3,10,18*,7220,10,either
03/25/21,14,15,60,5,280,18*,7220,10,either
03/25/21,14,35,60,3,310,18*,7220,10,either
03/25/21,14,55,59,0,0,18*,7220,10,either
03/25/21,15,15,58,3,350,18*,7220,10,either
03/25/21,18,55,50,5,20,21*,6500,10,either
03/26/21,15,35,50,10,280,17,2200,10,
03/27/21,16,15,56,11,120,16,3300,10,
03/27/21,16,35,56,14,140,16*,3300,10,
03/27/21,17,55,55,5,130,17*,3500,10,either
03/27/21,18,15,55,10,100,17*,3700,10,
03/27/21,18,35,55,13,110,17*,3500,10,
03/27/21,19,15,54,11,100,0,3000,10,
03/29/21, 9,15,35,3,240,22*,3700*,10,either
03/29/21, 9,55,37,3,210,22*,3700*,10,either
03/29/21,10,35,39,0,0,22*,3700*,10,either
03/29/21,12,15,43,3,190,17*,3700*,10,either
03/31/21, 5,55,37,10,270,17,12000*,10,
03/31/21, 7,35,36,13,290,16*,12000*,10,
03/31/21, 8,35,37,18,300,22,12000*,10,
03/31/21, 8,55,38,15,280,20,12000*,10,
03/31/21, 9,15,38,15,290,21,12000*,10,
03/31/21,10,15,41,11,300,16,3900,10,
03/31/21,10,35,41,14,280,23,3900,10,
03/31/21,11,35,43,13,280,17,4300,10,
03/31/21,11,55,44,15,290,20,4300,10,
03/31/21,12,15,42,17,270,20*,4300,10,
03/31/21,12,35,43,14,280,23,4500,10,
03/31/21,13,15,44,17,270,22,4700,10,
03/31/21,13,35,44,16,270,23,4700,10,
03/31/21,14,55,42,15,280,23,4900,10,
03/31/21,17,55,37,16,280,23,4500,10,
04/01/21,15,55,35,13,310,16,5500,10,
04/02/21,10,35,35,5,280,18*,5500*,10,either
04/02/21,12,15,40,5,350,18*,5500*,10,either
04/02/21,12,35,40,3,30,18*,5500*,10,either
04/02/21,12,55,40,5,340,18*,5500*,10,either
04/02/21,13,55,42,5,330,18*,5500*,10,either
04/02/21,14,35,43,0,0,18*,5500*,10,either
04/02/21,14,55,45,5,330,18*,5500*,10,either
04/02/21,15,35,44,5,220,18*,5500*,10,either
04/02/21,16,15,45,0,0,0,5500*,10,either
04/02/21,16,35,45,0,0,0*,5500*,10,either
04/02/21,16,55,45,0,0,0*,5500*,10,either
04/02/21,17,15,45,5,260,0*,5500*,10,either
04/02/21,17,35,44,5,210,0*,5500*,10,either
04/02/21,18,15,44,3,300,0*,5500*,10,either
04/02/21,18,35,43,3,180,0*,5500*,10,either
04/02/21,18,55,43,0,0,0*,5500*,10,either
04/02/21,19,15,41,0,0,0*,5500*,10,either
04/03/21,17,15,63,16,300,22,11000*,10,
04/03/21,17,35,63,15,290,22,11000*,10,
04/03/21,17,55,62,14,270,17,11000*,10,
04/03/21,18,15,61,14,280,17*,11000*,10,
04/04/21, 7,35,37,0,0,0*,11000*,10,either
04/04/21, 7,55,40,0,0,0*,11000*,10,either
04/04/21, 8,15,44,0,0,0*,11000*,10,either
04/04/21, 8,35,48,5,60,0*,11000*,10,either
04/04/21, 8,55,50,5,80,0*,11000*,10,either
04/04/21, 9,35,52,8,70,0*,11000*,10,
04/04/21,10,15,54,5,60,0*,11000*,10,either
04/04/21,10,55,58,5,70,0*,11000*,10,either
04/04/21,11,15,58,5,50,0*,11000*,10,either
04/04/21,11,35,59,3,360,0*,11000*,10,either
04/04/21,11,55,60,5,360,0*,11000*,10,either
04/04/21,12,15,60,0,0,0*,11000*,10,either
04/04/21,12,35,62,0,0,0*,11000*,10,either
04/04/21,12,55,63,3,140,0*,11000*,10,either
04/04/21,13,15,63,3,320,0*,11000*,10,either
04/04/21,13,35,65,3,240,0*,11000*,10,either
04/04/21,13,55,66,0,0,0*,11000*,10,either
04/04/21,14,15,66,5,360,0*,11000*,10,either
04/04/21,14,35,66,0,0,0*,11000*,10,either
04/04/21,14,55,67,3,320,0*,11000*,10,either
04/04/21,15,15,68,5,340,0*,11000*,10,either
04/04/21,15,35,68,0,0,0*,11000*,10,either
04/04/21,15,55,67,0,0,0*,11000*,10,either
04/04/21,16,15,67,3,330,0*,11000*,10,either
04/04/21,16,35,68,5,140,0*,11000*,10,either
04/04/21,16,55,67,0,0,0*,11000*,10,either
04/04/21,17,15,67,5,280,0*,11000*,10,either
04/04/21,17,35,67,0,0,0*,11000*,10,either
04/04/21,17,55,67,0,0,0*,11000*,10,either
04/04/21,18,15,66,5,100,0*,11000*,10,either
04/04/21,18,35,64,3,120,0*,11000*,10,either
04/04/21,18,55,62,3,110,0*,11000*,10,either
04/04/21,19,15,60,3,90,0*,11000*,10,either
04/04/21,19,35,59,5,120,0*,12000,10,either
04/05/21,13,15,56,5,210,17*,7500,10,either
04/05/21,14,15,57,5,140,17*,7500,10,either
04/05/21,14,55,58,0,0,17*,7500,10,either
04/05/21,15,55,59,3,140,17*,7500*,10,either
04/05/21,16,55,61,7,100,0*,7500*,10,
04/05/21,17,15,60,3,110,0*,11000,10,either
04/05/21,17,35,61,3,130,0*,11000,10,either
04/05/21,18,55,57,9,140,0*,11000*,10,either
04/05/21,19,35,54,13,130,17,11000*,10,
04/06/21, 5,55,43,5,150,17*,11000*,10,either
04/06/21, 6,15,43,5,150,17*,11000*,10,either
04/06/21, 9,15,61,5,220,17*,11000*,10,either
04/06/21,12,15,72,5,230,0*,6500*,10,either
04/06/21,18,55,74,0,0,16*,7500,10,either
04/06/21,19,15,71,3,300,16*,7500,10,either
04/06/21,19,35,69,0,0,0,7500,10,either
04/07/21, 5,55,59,0,0,0*,10000,10,either
04/07/21, 6,15,57,0,0,0,7000,10,either
04/07/21, 6,35,57,0,0,0*,7000,10,either
04/07/21, 6,55,59,0,0,0*,10000,10,either
04/07/21, 7,15,58,0,0,0,7000,10,either
04/07/21, 7,35,59,0,0,0*,7000,10,either
04/07/21, 7,55,59,0,0,0*,8000,10,either
04/07/21, 8,15,61,0,0,0*,8000*,10,either
04/07/21, 8,35,64,0,0,0*,8000*,10,either
04/07/21, 8,55,65,5,150,0*,8000*,10,either
04/07/21, 9,15,67,8,120,0*,8000*,10,
04/07/21, 9,35,70,5,110,0*,8000*,10,either
04/07/21, 9,55,71,5,200,0*,8000*,10,either
04/07/21,17,35,78,0,0,21*,8500,10,either
04/08/21, 5,55,57,11,110,16*,12000,10,
04/08/21, 6,35,57,11,100,16*,7500,10,
04/08/21, 6,55,58,13,90,16*,7500,10,
04/08/21, 7,15,58,11,100,16*,7500*,10,
04/08/21, 7,35,58,10,100,16*,7500*,10,
04/08/21,18,55,60,11,130,17,12000,10,
04/08/21,19,35,60,11,130,17*,9500,10,
04/09/21,18,55,65,5,80,20*,8000,10,either
04/09/21,19,15,64,3,110,20*,10000,10,either
04/09/21,19,35,64,3,10,20*,8000,10,either
04/10/21, 5,55,46,7,130,0*,8000*,10,
04/10/21, 6,15,46,0,0,0*,8000*,10,either
04/10/21, 6,35,45,5,160,0*,8000*,10,either
04/10/21, 6,55,47,3,140,0*,8000*,10,either
04/10/21, 7,15,51,7,120,0*,8000*,10,
04/10/21, 7,35,52,8,100,0*,8000*,10,
04/10/21, 7,55,54,8,100,0*,8000*,10,
04/10/21, 8,15,56,9,100,0*,11000,10,
04/10/21, 8,35,58,9,100,0*,11000,10,
04/10/21, 8,55,60,9,90,0*,12000,10,
04/10/21, 9,15,62,0,0,0*,12000,10,either
04/10/21, 9,35,64,0,0,0*,12000,10,either
04/10/21,13,35,73,10,110,17,10000,10,
04/10/21,14,55,72,11,120,17,12000,10,
04/10/21,17,55,60,8,140,0,4800,7,
04/10/21,18,15,60,8,140,0*,4800,7,
04/10/21,19,15,59,10,120,16,9000,10,
04/11/21, 5,35,49,3,160,0*,2700,10,either
04/11/21, 5,55,50,0,0,0*,2700,10,either
04/11/21, 6,15,51,5,160,0*,4200,10,either
04/11/21, 6,35,51,3,150,0*,4200,10,either
04/11/21, 6,55,51,3,160,0*,4400,10,either
04/11/21, 7,15,51,3,150,0*,2500,10,either
04/11/21,12,55,56,15,150,16*,3400,10,either
04/11/21,13,55,58,10,120,16,3200,10,
04/11/21,18,35,53,10,110,17*,2100,10,
04/12/21, 7,55,49,5,300,17*,2300,10,either
04/12/21, 8,15,50,5,290,17*,2000,10,either
04/12/21, 8,35,50,5,290,17*,2000,10,either
04/12/21, 9,55,50,3,240,17*,3500,10,either
04/12/21,11,15,53,5,240,17*,4100,10,either
04/12/21,12,15,56,11,280,17*,2100,10,
04/12/21,14,55,60,10,270,17*,6000,10,
04/12/21,16,55,60,10,280,16*,5500,10,
04/12/21,18,15,57,11,270,16,2700,10,
04/12/21,19,35,54,0,0,23*,6500*,10,either
04/13/21, 5,35,36,0,0,18*,6000*,10,either
04/13/21, 5,55,37,0,0,18*,6000*,10,either
04/13/21, 6,15,37,5,160,18*,6000*,10,either
04/13/21, 6,35,37,0,0,18*,6000*,10,either
04/13/21, 6,55,38,0,0,18*,6000*,10,either
04/13/21, 7,15,41,0,0,18*,6000*,10,either
04/13/21, 7,35,44,3,190,18*,6000*,10,either
04/13/21, 7,55,46,3,160,18*,6000*,10,either
04/13/21, 8,15,48,5,220,18*,6000*,10,either
04/13/21, 8,35,50,5,240,18*,6000*,10,either
04/13/21, 9,15,53,5,210,18*,6000*,10,either
04/13/21,10,35,59,13,240,16,6000*,10,
04/13/21,11,15,59*,13*,240*,16*,6000*,10*,
04/13/21,12,55,59,15,260,23,6000*,10,
04/13/21,18,35,54,11,300,17,7000*,10,
04/14/21, 5,55,35,0,0,0*,5000*,10,either
04/14/21, 6,35,36,5,200,0*,6000,10,either
04/14/21, 6,55,38,5,210,0*,6000,10,either
04/14/21, 7,15,39,3,220,0*,6000,10,either
04/14/21, 7,35,40,0,0,0*,6000,10,either
04/14/21, 7,55,40,3,190,0*,4700,10,either
04/14/21, 8,15,42,0,0,0*,4900,10,either
04/14/21, 8,35,43,5,220,0*,6000,10,either
04/14/21,14,55,46,11,310,16,5000,10,
04/14/21,16,35,46,15,300,21,6000,10,
04/14/21,17,15,44,14,300,17,6000,10,
04/14/21,17,35,44,13,310,16,5000,10,
04/14/21,17,55,43,16,290,16*,5000,10,
04/15/21,14,15,44,17,290,21,3100,10,
04/15/21,15,55,44,13,320,17,2600,10,
04/15/21,16,15,44,10,290,17*,2400,10,
04/15/21,16,35,44,16,300,17*,2400,10,
04/15/21,16,55,42,14,280,21,2000,10,
04/15/21,17,35,43,10,300,17,2000,10,
04/15/21,18,55,42,14,300,17,2000,10,
04/16/21,10,55,43,11,290,17,2100,10,
04/16/21,11,15,44,10,290,17*,2100,10,
04/16/21,11,35,44,13,280,17,2100,10,
04/16/21,16,15,55,11,300,17,3700,10,
04/16/21,17,35,55,11,300,17,4200,10,
04/16/21,18,15,54,10,280,17*,4800,10,
04/16/21,19,35,53,10,280,16,4700,10,
04/17/21,10,15,48,0,0,0*,2600,10,either
04/17/21,10,35,49,0,0,0*,2600,10,either
04/17/21,10,55,49,3,270,0*,2600,10,either
04/17/21,11,15,50,5,120,0*,3000,10,either
04/17/21,11,35,52,5,360,0*,3200,10,either
04/17/21,11,55,52,0,0,0*,3400,10,either
04/17/21,12,15,53,3,340,0*,3600,10,either
04/17/21,12,55,54,3,120,0*,4100,10,either
04/17/21,13,55,57,5,20,0*,4900,10,either
04/17/21,14,35,57,13,330,0*,5000,10,either
04/17/21,14,55,57,8,280,0*,5000,10,
04/17/21,15,35,55,5,350,16,5500,10,either
04/17/21,16,35,56,5,330,16*,8500,10,either
04/17/21,17,55,57,5,320,16*,7000,10,either
04/17/21,18,15,56,5,350,16*,6000,10,either
04/17/21,18,35,55,5,360,16*,6000,10,either
04/17/21,18,55,54,0,0,16*,6500,10,either
04/17/21,19,15,54,0,0,16*,6500,10,either
04/17/21,19,35,53,0,0,16*,6500,10,either
04/18/21, 5,35,36,5,290,16*,5500,10,either
04/18/21, 5,55,36,3,300,16*,5500,10,either
04/18/21, 6,15,36,0,0,16*,5500,10,either
04/18/21, 6,35,36,0,0,16*,5500*,10,either
04/18/21, 6,55,38,0,0,16*,5500*,10,either
04/18/21, 7,15,40,3,330,16*,5500*,10,either
04/18/21, 7,35,42,3,340,16*,5500*,10,either
04/18/21, 7,55,43,3,350,16*,5500*,10,either
04/18/21, 8,15,44,3,350,16*,5500*,10,either
04/18/21,13,15,58,11,300,17,5500*,10,
04/18/21,14,15,59,10,300,17,7500,10,
04/19/21, 5,35,46,5,160,16*,10000*,10,either
04/19/21, 5,55,45,3,150,16*,10000*,10,either
04/19/21, 6,15,45,0,0,16*,10000*,10,either
04/19/21, 6,35,45,5,150,16*,8500,10,either
04/19/21, 6,55,47,5,140,16*,8500,10,either
04/19/21,16,55,42,10,270,16*,2000,10,
04/19/21,18,15,42,15,270,20,2400,10,
04/19/21,18,35,42,11,270,17,2400,10,
04/19/21,18,55,42,14,280,20,2400,10,
04/19/21,19,15,41,13,280,17,2900,10,
04/19/21,19,35,41,15,280,18,4400,10,
04/20/21,11,55,35,5,260,17*,6500,10,either
04/20/21,13,35,37,5,260,17*,4300,10,either
04/20/21,13,55,38,11,280,17,3900,10,
04/20/21,15,35,36,5,250,17*,3800,10,either
04/21/21,11,55,38,16,310,21*,4800,10,
04/21/21,12,35,39,14,280,21,4800,10,
04/21/21,12,55,39,15,290,21,4800,10,
04/21/21,13,15,40,15,280,21,4800,10,
04/21/21,13,35,39,15,290,22,3800,10,
04/21/21,14,35,38,16,280,22,3500,10,
04/21/21,15,15,41,14,280,18,4200,10,
04/21/21,15,55,42,14,280,22,5000,10,
04/21/21,17,15,41,14,300,17,5000,10,
04/21/21,18,35,39,11,310,17,6500,10,
04/21/21,18,55,38,10,270,17,8000,10,
04/22/21, 8,55,38,10,270,17*,7000,10,
04/22/21,11,15,43,14,280,20,3600,10,
04/22/21,11,35,42,16,290,20,4300,10,
04/22/21,12,35,43,15,280,21,4500,10,
04/22/21,16,55,47,16,290,22,7220,10,
04/22/21,17,15,47,15,290,22,7220,10,
04/22/21,17,35,46,17,290,21,7220,10,
04/22/21,17,55,46,16,290,22,7220,10,
04/22/21,18,35,45,14,280,21,7220,10,
04/22/21,18,55,44,14,280,17,7220,10,
04/22/21,19,15,43,10,280,17*,7220,10,
04/22/21,19,35,41,5,290,17*,7220,10,either
04/22/21,19,55,41,0,0,0,7220,10,either
04/23/21, 5,15,39,3,250,0*,7220,10,either
04/23/21, 6,35,40,5,250,0*,7220,10,either
04/23/21, 6,55,42,7,250,0*,7220,10,
04/23/21, 9,35,52,10,270,17,7220,10,
04/23/21,18,15,58,5,230,17*,10000,10,either
04/23/21,19,15,56,3,230,18*,9500,10,either
04/23/21,19,35,55,5,220,18*,8000,10,either
04/23/21,19,55,53,5,220,18*,9000,10,either
04/24/21, 5,15,42,0,0,18*,6000,10,either
04/24/21, 5,35,42,0,0,18*,6000,10,either
04/24/21, 5,55,43,3,160,18*,6000,10,either
04/24/21, 6,15,43,0,0,18*,6000,10,either
04/24/21, 6,35,44,0,0,18*,6000,10,either
04/24/21, 6,55,45,0,0,18*,6000,10,either
04/24/21, 7,15,46,3,150,18*,6000,10,either
04/24/21, 7,35,47,0,0,18*,6000,10,either
04/24/21, 8,15,49,3,140,18*,6000,10,either
04/24/21, 8,35,49,5,160,18*,6000,10,either
04/24/21, 8,55,50,5,120,18*,6000,10,either
04/24/21,15,35,53,5,210,18*,4900,10,either
04/24/21,15,55,53,5,220,18*,4900,10,either
04/24/21,16,15,53,3,200,18*,4900,10,either
04/24/21,16,35,53,0,0,18*,4100,10,either
04/24/21,16,55,52,5,240,18*,4600,10,either
04/24/21,17,15,52,5,270,18*,4300,10,either
04/24/21,17,35,52,3,260,18*,3600,10,either
04/24/21,17,55,52,5,260,18*,3600,10,either
04/24/21,18,15,52,3,230,18*,3700,10,either
04/24/21,18,35,51,0,0,18*,3500,10,either
04/24/21,18,55,51,0,0,0,4400,10,either
04/24/21,19,15,51,0,0,0*,3700,10,either
04/24/21,19,35,50,0,0,0*,3700,10,either
04/24/21,19,55,50,5,110,0*,3700,10,either
04/25/21, 8,55,38,11,330,0*,2000,10,either
04/25/21, 9,15,38,9,330,0*,2000,10,either
04/25/21, 9,35,38,13,310,0*,2000,10,either
04/25/21,14,55,50,15,290,20,7220,10,
04/25/21,16,55,51,9,330,13,7220,10,either
04/25/21,19,35,46,5,20,0*,7220,10,either
04/25/21,19,55,44,3,350,0*,7220,10,either
04/26/21, 6,55,35,9,120,0*,8000,10,
04/26/21, 7,15,35,8,110,0*,7000,10,
04/26/21, 7,35,36,8,110,0*,7000,10,
04/26/21, 7,55,37,9,120,0*,8000,10,
04/26/21, 8,15,37,10,120,0*,8000,10,
04/26/21,10,35,41,10,120,16,7000,10,
04/26/21,15,35,55,16,130,22,7220,10,
04/26/21,16,15,55,16,130,21,7220,10,
04/26/21,17,15,54,16,120,21,7220,10,
04/26/21,17,35,54,14,120,17,7220,10,
04/26/21,17,55,54,15,120,22,7220,10,
04/26/21,18,55,53,15,120,21,7220,10,
04/27/21, 5,35,48,5,140,17*,9000,10,either
04/27/21, 5,55,50,3,180,17*,9000,10,either
04/27/21, 6,15,51,5,190,17*,7000,10,either
04/27/21, 6,55,54,5,210,17*,7000,10,either
04/27/21, 7,15,55,5,220,17*,7000,10,either
04/27/21, 8,15,63,8,240,0,7220,10,
04/27/21,17,35,79,5,240,21*,7000,10,either
04/27/21,18,15,80,5,240,21*,7000,10,either
04/27/21,18,55,79,0,0,21*,7500,10,either
04/28/21, 5,35,67,5,230,21*,11000,10,either
04/28/21, 6,15,67,8,240,0,11000*,10,
04/28/21, 6,35,67,8,250,0*,11000*,10,
04/28/21, 6,55,67,8,270,0*,11000*,10,
04/28/21, 7,15,67,6,280,0*,11000*,10,
04/28/21, 7,35,66,6,290,0*,11000,10,
04/28/21, 7,55,66,5,250,0*,10000,10,either
04/28/21, 8,15,65,5,130,0*,10000,10,either
04/28/21, 8,33,64,6,110,0*,10000,10,
04/28/21,14,15,69,15,280,23,2800,10,
04/28/21,15,35,65,10,260,17,2500,10,
04/28/21,17,15,63,16,270,20*,4700,10,
04/28/21,17,35,62,11,280,17,4900,10,
04/28/21,18,15,62,5,240,16*,3800,10,either
04/28/21,18,35,61,5,230,16*,3800,10,either
04/28/21,18,55,61,5,330,16*,4200,10,either
04/28/21,19,15,60,3,230,16*,4200,10,either
04/28/21,19,35,60,3,270,16*,4200,10,either
04/28/21,19,55,60,5,260,16*,4000,10,either
04/29/21,19,15,52,5,260,0*,2500,7,either
04/29/21,19,35,51,8,270,0*,2300,7,
04/29/21,19,55,49,9,270,0*,2300*,7,
04/30/21, 5,15,42,5,270,0*,7000,10,either
04/30/21, 5,35,42,3,300,0*,7000,10,either
04/30/21, 5,55,43,5,250,0*,12000,10,either
04/30/21, 6,12,43,7,260,0*,6500,10,
04/30/21, 6,35,43,6,280,0*,6500,10,
04/30/21, 6,55,43,9,280,0*,4300,10,
04/30/21, 7,15,43,5,320,0*,3600,10,either
04/30/21, 7,35,43,7,310,0*,2000,10,
04/30/21,17,15,54,16,310,20,7000*,10,
05/01/21, 6,55,36,5,200,20*,7220,10,either
05/02/21,11,15,75,10,260,16,12000*,10,
05/04/21,11,55,58,11,270,17,2100,10,
05/04/21,12,15,59,10,290,17,2100,10,
05/04/21,14,55,55,11,300,17,2100,10,
05/04/21,17,35,54,13,290,16,2500,10,
05/04/21,17,55,54,10,290,16*,2500,10,
05/04/21,18,15,53,11,290,16*,2500,10,
05/04/21,18,35,53,10,300,16*,2500,10,
05/04/21,19,35,53,11,310,17,2400,10,
05/05/21, 8,35,44,11,300,16*,2600,10,
05/05/21,12,15,47,11,300,16,3000,10,
05/05/21,17,15,55,13,310,16,5000*,10,
05/05/21,19,35,51,3,330,17*,6000*,10,either
05/06/21, 4,55,38,0,0,0*,9000,10,either
05/06/21, 5,15,38,0,0,0*,9000,10,either
05/06/21, 5,35,38,0,0,0*,7000,10,either
05/06/21, 5,55,38,0,0,0,8000,10,either
05/06/21, 6,15,38,0,0,0*,8000,10,either
05/06/21, 6,35,39,0,0,0*,7000,10,either
05/06/21, 6,55,41,0,0,0*,7000,10,either
05/06/21, 7,15,44,0,0,0*,8000,10,either
05/06/21, 7,35,45,3,130,0*,8000,10,either
