JEWETT FLD AP (MI),54822,,Lat: 42.5658,Lon: -84.4331,Elev: 922 ft,,,
Date,Hr,Min,Temp (F),Wind Spd (mph),Wind Direction (deg),Peak WindGust(mph),Low Cloud Ht (ft),Visibility (mi)
03/07/21,17,55,38,0,0,18*,4800*,10,
03/07/21,18,15,37,0,0,18*,4800*,10,
03/07/21,18,35,36,0,0,18*,4800*,10,
03/07/21,18,55,35,0,0,18*,4800*,10,
03/08/21, 6,35,37,5,200,18*,7000*,10,
03/08/21, 6,55,37,3,200,18*,7000*,10,
03/08/21, 7,15,37,5,200,18*,7000*,10,
03/08/21, 7,35,39,6,200,18*,7000*,10,
03/08/21, 7,55,40,7,210,18*,7000*,10,
03/08/21, 8,15,42,5,200,18*,7000*,10,
03/08/21, 8,35,43,9,200,18*,7000*,10,
03/08/21, 8,55,44,6,190,18*,7000*,10,
03/08/21, 9,15,46,8,210,16,7000*,10,
03/08/21, 9,35,47,7,200,16,7000*,10,
03/08/21, 9,55,49,6,200,16,7000*,10,
03/08/21,10,15,51,8,210,16*,7000*,10,
03/08/21,10,35,52,10,200,17,7000*,10,
03/08/21,10,55,54,11,210,17,7000*,10,
03/08/21,11,15,56,9,230,17,7000*,10,
03/08/21,11,35,56,9,230,20,7000*,10,
03/08/21,11,55,57,15,220,20,7000*,10,
03/08/21,12,15,57,8,250,20,9500,10,
03/08/21,12,35,58,9,220,18,9500,10,
03/08/21,12,55,59,10,230,18,9500,10,
03/08/21,13,15,60,9,250,22,9500*,10,
03/08/21,13,35,61,10,250,21,9500*,10,
03/08/21,13,55,61,16,240,24,9500*,10,
03/08/21,14,15,62,14,250,25,9500*,10,
03/08/21,14,35,63,18,230,25,9500*,10,
03/08/21,14,55,63,13,240,23,9500*,10,
03/08/21,15,15,62,9,250,21,8500,10,
03/08/21,15,35,62,16,240,25,7500,10,
03/08/21,15,55,63,13,240,21,7500,10,
03/08/21,16,15,64,14,270,21,7500,10,
03/08/21,16,35,62,17,270,29,7500,10,
03/08/21,16,55,60,15,270,21,7500,10,
03/08/21,17,15,60,15,270,26,7500*,10,
03/08/21,17,35,59,11,270,17,7500*,10,
03/08/21,17,55,58,7,260,16,7500*,10,
03/08/21,18,15,57,8,260,16*,7500*,10,
03/08/21,18,35,56,6,260,0,7500*,10,
03/08/21,18,55,55,6,270,0*,7500*,10,
03/09/21, 8,35,35,6,90,0*,7500*,5,
03/09/21, 8,55,38,0,0,0*,7500*,7,
03/09/21, 9,15,43,0,0,0*,7500*,10,
03/09/21, 9,35,45,5,130,0*,7500*,10,
03/09/21, 9,55,47,6,150,0*,7500*,10,
03/09/21,10,15,48,7,150,0*,7500*,10,
03/09/21,10,35,49,8,150,0*,7500*,10,
03/09/21,10,55,51,9,140,0*,7500*,10,
03/09/21,11,15,52,11,140,0*,7500*,10,
03/09/21,11,35,53,8,130,16,7500*,10,
03/09/21,11,55,53,10,140,16*,7500*,10,
03/09/21,12,15,54,9,130,16*,7500*,10,
03/09/21,12,35,55,10,160,16,7500*,10,
03/09/21,12,55,56,11,150,16,7500*,10,
03/09/21,13,15,56,13,140,18,7500*,10,
03/09/21,13,35,57,11,120,16,7500*,10,
03/09/21,13,55,58,10,120,16,7500*,10,
03/09/21,14,15,58,15,170,16*,7500*,10,
03/09/21,14,35,60,14,150,20,7500*,10,
03/09/21,14,55,59,13,170,18,7500*,10,
03/09/21,15,15,60,11,180,21,7500*,10,
03/09/21,15,35,60,14,160,20,7500*,10,
03/09/21,15,55,61,13,150,21,7500*,10,
03/09/21,16,15,60,13,150,20,7500*,10,
03/09/21,16,35,60,14,160,21,7500*,10,
03/09/21,16,55,60,14,150,22,7500*,10,
03/09/21,17,15,59,14,130,20,7500*,10,
03/09/21,17,35,58,11,150,21,7500*,10,
03/09/21,17,55,57,11,130,20,7500*,10,
03/09/21,18,15,56,8,150,20,7500*,10,
03/09/21,18,35,54,13,120,16,7500*,10,
03/09/21,18,55,53,15,120,16*,7500*,10,
03/10/21, 6,35,45,10,150,18,12000*,10,
03/10/21, 6,55,46,11,160,16,12000*,10,
03/10/21, 7,15,46,10,140,18,12000*,10,
03/10/21, 7,35,46,11,160,18,4400,10,
03/10/21, 7,55,47,11,160,18*,4400,10,
03/10/21, 8,15,48,10,170,16,4800,10,
03/10/21, 8,35,49,10,170,17,5000,10,
03/10/21, 8,55,51,11,170,17*,4700,10,
03/10/21, 9,15,51,9,170,17*,6000,10,
03/10/21, 9,35,54,11,180,16,6000*,10,
03/10/21, 9,55,57,8,200,17,6000*,10,
03/10/21,10,15,58,9,200,17*,6000*,10,
03/10/21,10,35,60,10,200,26,6000*,10,
03/10/21,10,55,61,13,180,22,6000*,10,
03/10/21,11,15,61,14,200,28,6000*,10,
03/10/21,11,35,63,11,200,17,6000*,10,
03/10/21,11,55,64,11,190,22,6000*,10,
03/10/21,12,15,66,14,180,24,6000*,10,
03/10/21,12,35,65,14,190,22,6000*,10,
03/10/21,12,55,66,11,200,23,6000*,10,
03/10/21,13,15,68,9,190,21,6000*,10,
03/10/21,13,35,69,15,220,25,6000,10,
03/10/21,13,55,69,20,210,32,6000,10,
03/10/21,14,15,69,14,230,28,5500,10,
03/10/21,14,35,68,9,220,26,5500,10,
03/10/21,14,55,68,11,210,26,6500,10,
03/10/21,15,15,67,14,200,26,6500,10,
03/10/21,15,35,66,11,200,24,6500*,10,
03/10/21,15,55,66,14,180,24,5500,10,
03/10/21,16,15,66,13,190,23,5500,10,
03/10/21,16,35,66,9,180,22,5000,10,
03/10/21,16,55,65,13,190,24,5000*,10,
03/10/21,17,15,65,15,180,23,5000*,10,
03/10/21,17,35,65,8,180,20,6000,10,
03/10/21,17,55,65,14,180,24,5000,10,
03/10/21,18,15,64,10,190,22,5000,10,
03/10/21,18,35,64,13,180,22,5000,10,
03/10/21,18,55,64,11,160,23,5000,10,
03/11/21, 6,35,58,5,190,18*,3900,10,
03/11/21, 6,55,59,7,200,18*,3400,10,
03/11/21, 7,15,60,8,190,18*,3400,10,
03/11/21, 7,35,60,6,210,22,3200,10,
03/11/21, 7,55,60,5,190,22*,3200,10,
03/11/21, 8,15,60,6,190,22*,3400,10,
03/11/21, 8,35,61,11,220,23,3400*,10,
03/11/21, 8,55,61,8,200,22,3400*,10,
03/11/21, 9,15,61,14,220,24,3400*,10,
03/11/21, 9,35,61,15,220,25,3400*,10,
03/11/21, 9,55,62,17,230,29,3400*,10,
03/11/21,10,15,63,14,220,28,3400*,10,
03/11/21,10,35,62,23,230,30,3100,10,
03/11/21,10,55,62,16,230,32,3100,10,
03/11/21,11,15,61,15,230,31,3300,10,
03/11/21,11,35,62,21,230,32,3100,10,
03/11/21,11,55,62,16,230,26,2900,10,
03/11/21,12,15,63,15,230,30,2900,10,
03/11/21,12,35,60,14,260,25,2900,10,
03/11/21,12,55,62,21,260,29,2600,10,
03/11/21,13,15,60,15,260,33,2800,10,
03/11/21,13,35,61,20,270,32,3200,10,
03/11/21,13,55,61,20,260,34,3700,10,
03/11/21,14,15,60,21,270,34,3900,10,
03/11/21,14,35,60,16,260,34,3900*,10,
03/11/21,14,55,61,16,250,28,3900*,10,
03/11/21,15,15,60,22,260,36,3900*,10,
03/11/21,15,35,60,16,260,32,3900*,10,
03/11/21,15,55,59,23,270,36,3900*,10,
03/11/21,16,15,57,23,270,31,3900*,10,
03/11/21,16,35,57,20,270,37,3900*,10,
03/11/21,16,55,56,17,270,28,3900*,10,
03/11/21,17,15,55,20,260,25,3900*,10,
03/11/21,17,35,54,22,270,31,3900*,10,
03/11/21,17,55,53,21,260,31,3900*,10,
03/11/21,18,15,51,18,280,23,3900*,10,
03/11/21,18,35,49,17,270,24,3900*,10,
03/11/21,18,55,48,15,270,23,3900*,10,
03/12/21, 6,35,35,3,250,0*,3900*,10,
03/12/21, 6,55,35,6,250,0*,3900*,10,
03/12/21, 7,15,35,3,250,0*,3900*,10,
03/12/21, 7,35,36,5,250,0*,3900*,10,
03/12/21, 7,55,37,5,260,0*,3900*,10,
03/12/21, 8,15,38,7,260,0*,3900*,10,
03/12/21, 8,35,39,7,270,0*,3900*,10,
03/12/21, 8,55,40,11,280,0*,3900*,10,
03/12/21, 9,15,42,10,270,0*,3900*,10,
03/12/21, 9,35,44,10,260,16,3900*,10,
03/12/21, 9,55,46,15,280,16*,3900*,10,
03/12/21,10,15,46,13,270,18,3900*,10,
03/12/21,10,35,47,17,280,25,3900*,10,
03/12/21,10,55,47,17,280,23,3900*,10,
03/12/21,11,15,48,16,300,25,3900*,10,
03/12/21,11,35,48,16,290,26,3900*,10,
03/12/21,11,55,49,17,290,24,3900*,10,
03/12/21,12,15,50,20,270,29,3900*,10,
03/12/21,12,35,50,17,290,29,3900*,10,
03/12/21,12,55,51,18,260,28,3900*,10,
03/12/21,13,15,52,18,280,29,3900*,10,
03/12/21,13,35,52,15,280,29,3900*,10,
03/12/21,13,55,52,23,260,33,3900*,10,
03/12/21,14,15,52,25,290,33,3900*,10,
03/12/21,14,35,52,17,300,31,3900*,10,
03/12/21,14,55,51,17,290,31,3900*,10,
03/12/21,15,15,51,17,270,28,3900*,10,
03/12/21,15,35,50,15,280,24,3900*,10,
03/12/21,15,55,49,17,290,29,3900*,10,
03/12/21,16,15,48,15,280,25,3900*,10,
03/12/21,16,35,47,17,290,25,3900*,10,
03/12/21,16,55,46,17,290,21,3900*,10,
03/12/21,17,15,44,15,280,22,3900*,10,
03/12/21,17,35,43,16,280,22,3900*,10,
03/12/21,17,55,42,13,290,22,3900*,10,
03/12/21,18,15,41,14,280,18,3900*,10,
03/12/21,18,35,40,14,270,18,3900*,10,
03/12/21,18,55,39,11,280,22,3900*,10,
03/13/21,10,15,35,3,220,22*,3900*,10,
03/13/21,10,35,36,6,200,22*,3900*,10,
03/13/21,10,55,38,5,270,22*,3900*,10,
03/13/21,11,15,39,6,240,22*,3900*,10,
03/13/21,11,35,39,6,250,22*,3900*,10,
03/13/21,11,55,41,7,250,22*,3900*,10,
03/13/21,12,15,41,8,260,22*,3900*,10,
03/13/21,12,35,42,8,230,22*,3900*,10,
03/13/21,12,55,44,6,230,22*,3900*,10,
03/13/21,13,15,44,10,240,22*,3900*,10,
03/13/21,13,35,46,8,220,22*,3900*,10,
03/13/21,13,55,46,8,240,17,3900*,10,
03/13/21,14,15,47,9,230,17,3900*,10,
03/13/21,14,35,48,9,230,17,3900*,10,
03/13/21,14,55,49,11,270,20,3900*,10,
03/13/21,15,15,51,14,260,20,3900*,10,
03/13/21,15,35,51,13,260,22,3900*,10,
03/13/21,15,55,51,8,250,22,3900*,10,
03/13/21,16,15,52,10,290,17,3900*,10,
03/13/21,16,35,52,10,260,22,3900*,10,
03/13/21,16,55,52,13,270,20,3900*,10,
03/13/21,17,15,52,14,270,22,3900*,10,
03/13/21,17,35,51,11,280,22,3900*,10,
03/13/21,17,55,51,10,270,18,3900*,10,
03/13/21,18,15,51,11,270,18*,3900*,10,
03/13/21,18,35,49,8,280,18*,3900*,10,
03/13/21,18,55,48,8,240,18*,3900*,10,
03/14/21, 6,35,36,7,330,18*,3900*,10,
03/14/21, 6,55,36,6,330,18*,3900*,10,
03/14/21, 7,15,36,6,340,18*,3900*,10,
03/14/21, 7,35,37,6,350,18*,3900*,10,
03/14/21, 7,55,38,8,350,18*,3900*,10,
03/14/21, 8,15,39,8,350,18*,3900*,10,
03/14/21, 8,35,40,5,350,18*,3900*,10,
03/14/21, 8,55,42,13,10,18,3900*,10,
03/14/21, 9,15,42,14,10,20,3900*,10,
03/14/21, 9,35,43,11,360,17,3900*,10,
03/14/21, 9,55,43,16,360,24,3900*,10,
03/14/21,10,15,44,9,350,16,3900*,10,
03/14/21,10,35,44,11,360,17,3900*,10,
03/14/21,10,55,44,16,330,21,3900*,10,
03/14/21,11,15,44,14,340,17,3900*,10,
03/14/21,11,35,44,10,340,20,3900*,10,
03/14/21,11,55,45,13,20,21,3900*,10,
03/14/21,12,15,46,13,20,17,3900*,10,
03/14/21,12,35,46,11,20,17,3900*,10,
03/14/21,12,55,46,9,350,18,3900*,10,
03/14/21,13,15,45,9,20,18,3900*,10,
03/14/21,13,35,46,15,20,18*,3900*,10,
03/14/21,13,55,46,13,20,18,3900*,10,
03/14/21,14,15,46,8,360,17,3900*,10,
03/14/21,14,35,47,14,20,20,3900*,10,
03/14/21,14,55,46,15,20,20*,3900*,10,
03/14/21,15,15,45,13,40,18,3900*,10,
03/14/21,15,35,46,11,50,20,3900*,10,
03/14/21,15,55,45,10,20,18,3900*,10,
03/14/21,16,15,44,11,50,17,3900*,10,
03/14/21,16,35,43,10,50,17*,3900*,10,
03/14/21,16,55,43,11,30,17*,3900*,10,
03/14/21,17,15,42,9,60,17*,3900*,10,
03/14/21,17,35,41,8,50,17*,3900*,10,
03/14/21,17,55,40,10,40,17*,3900*,10,
03/14/21,18,15,39,8,40,17*,3900*,10,
03/14/21,18,35,38,7,40,17*,3900*,10,
03/14/21,18,55,36,6,50,17*,3900*,10,
03/15/21,11,35,35,13,100,21,3900*,10,
03/15/21,11,55,35,13,80,24,3900*,10,
03/15/21,12,15,35,13,80,23,3900*,10,
03/15/21,12,35,35,17,90,26,3900*,10,
03/15/21,12,55,35,14,110,22,3900*,10,
03/15/21,13,15,35,13,90,21,3900*,10,
03/15/21,13,35,36,9,100,21*,3900*,10,
03/15/21,13,55,37,9,110,18,3900*,10,
03/15/21,14,15,36,13,110,22,3900*,10,
03/15/21,14,35,36,11,90,20,3900*,10,
03/15/21,14,55,36,9,100,22,3900*,10,
03/15/21,15,15,36,15,110,23,3900*,10,
03/15/21,15,35,35,16,110,23*,3900*,10,
03/16/21,11,55,40,0,0,23*,2100,10,
03/16/21,12,15,40,0,0,23*,2100,10,
03/16/21,12,35,40,3,320,23*,2100,10,
03/16/21,12,55,42,0,0,23*,2100,10,
03/16/21,13,15,42,0,0,23*,2300,10,
03/16/21,13,35,43,3,300,23*,2500,10,
03/16/21,13,55,43,0,0,23*,2500,10,
03/16/21,14,15,44,0,0,23*,2500,10,
03/16/21,14,35,46,0,0,23*,2500,10,
03/16/21,14,55,45,3,330,23*,2700,10,
03/16/21,15,15,44,3,320,23*,2700,10,
03/16/21,15,35,45,5,330,23*,2700,10,
03/16/21,15,55,46,3,340,23*,2900,10,
03/16/21,16,15,46,6,330,23*,2900,10,
03/16/21,16,35,47,7,280,23*,2900,10,
03/16/21,16,55,46,5,240,23*,2900,10,
03/16/21,17,15,44,7,300,23*,2900,10,
03/16/21,17,35,44,7,300,23*,3100,10,
03/16/21,17,55,42,7,300,23*,2900,10,
03/16/21,18,15,42,10,330,23*,2900,10,
03/16/21,18,35,41,6,340,23*,2900,10,
03/16/21,18,55,40,6,350,23*,2900,10,
03/17/21, 8,55,36,8,110,23*,2300*,10,
03/17/21, 9,15,38,10,100,23*,2300*,10,
03/17/21, 9,35,39,9,100,23*,2300*,10,
03/17/21, 9,55,40,6,100,23*,2300*,10,
03/17/21,10,15,42,6,80,23*,2300*,10,
03/17/21,10,35,43,5,120,23*,2300*,10,
03/17/21,10,55,45,7,120,23*,2300*,10,
03/17/21,11,15,46,5,140,23*,2300*,10,
03/17/21,11,35,47,0,0,23*,2300*,10,
03/17/21,11,55,48,0,0,23*,2300*,10,
03/17/21,12,15,49,0,0,23*,2300*,10,
03/17/21,12,35,51,5,160,23*,2300*,10,
03/17/21,12,55,52,6,150,23*,2300*,10,
03/17/21,13,15,54,7,150,23*,2300*,10,
03/17/21,13,35,54,6,120,23*,2300*,10,
03/17/21,13,55,56,7,190,23*,2300*,10,
03/17/21,14,15,56,5,160,23*,2300*,10,
03/17/21,14,35,57,10,170,23*,2300*,10,
03/17/21,14,55,57,5,220,23*,2300*,10,
03/17/21,15,15,57,3,230,23*,2300*,10,
03/17/21,15,35,58,7,280,23*,2300*,10,
03/17/21,15,55,58,0,0,23*,2300*,10,
03/17/21,16,15,58,3,210,23*,2300*,10,
03/17/21,16,35,58,0,0,23*,2300*,10,
03/17/21,16,55,58,0,0,23*,2300*,10,
03/17/21,17,15,58,8,20,23*,2300*,10,
03/17/21,17,35,57,13,350,20,2300*,10,
03/17/21,17,55,52,13,10,26,2300*,10,
03/17/21,18,15,51,16,20,24,2300*,10,
03/17/21,18,35,47,14,30,24,2300*,10,
03/17/21,18,55,46,13,30,22,2300*,10,
03/18/21,10,35,37,15,40,28,6500,10,
03/18/21,10,55,38,16,40,24,6500,10,
03/18/21,11,15,38,20,40,26,6500,10,
03/18/21,11,35,40,17,30,30,6500,10,
03/18/21,11,55,40,17,40,29,9500,10,
03/18/21,12,15,42,24,40,31,11000,10,
03/18/21,12,35,42,26,40,33,11000*,10,
03/18/21,12,55,42,23,40,32,11000*,10,
03/18/21,13,15,43,23,30,34,3500,10,
03/18/21,13,35,43,26,40,32,3500,10,
03/18/21,13,55,44,26,40,32,3500*,10,
03/18/21,14,15,44,20,10,33,3400,10,
03/18/21,14,35,43,22,30,34,2800,10,
03/18/21,14,55,43,20,20,29,3000,10,
03/18/21,15,15,41,23,30,34,3000,10,
03/18/21,15,35,41,20,40,32,3000*,10,
03/18/21,15,55,41,18,30,31,3000*,10,
03/18/21,16,15,41,18,20,33,3000*,10,
03/18/21,16,35,40,18,20,30,3000*,10,
03/18/21,16,55,39,21,20,31,3000*,10,
03/18/21,17,15,39,16,30,31,3000*,10,
03/18/21,17,35,38,15,30,31,3000*,10,
03/18/21,17,55,37,20,20,29,3000*,10,
03/18/21,18,15,36,17,30,36,3000*,10,
03/18/21,18,35,36,17,20,26,3000*,10,
03/18/21,18,55,35,20,30,25,3000*,10,
03/19/21,10,15,35,11,50,25*,3000*,10,
03/19/21,10,35,36,10,50,25*,3000*,10,
03/19/21,10,55,37,13,40,16,3000*,10,
03/19/21,11,15,38,11,50,16,3000*,10,
03/19/21,11,35,40,13,30,18,3000*,10,
03/19/21,11,55,41,15,50,20,3000*,10,
03/19/21,12,15,41,8,60,20*,3000*,10,
03/19/21,12,35,42,11,50,18,3000*,10,
03/19/21,12,55,43,11,80,16,3000*,10,
03/19/21,13,15,44,9,60,16*,3000*,10,
03/19/21,13,35,45,13,80,16*,3000*,10,
03/19/21,13,55,46,8,80,23,3000*,10,
03/19/21,14,15,46,9,70,23*,3000*,10,
03/19/21,14,35,46,10,40,17,3000*,10,
03/19/21,14,55,46,7,30,17*,3000*,10,
03/19/21,15,15,47,11,40,16,3000*,10,
03/19/21,15,35,48,5,90,16*,3000*,10,
03/19/21,15,55,47,7,120,16*,3000*,10,
03/19/21,16,15,48,6,20,16,3000*,10,
03/19/21,16,35,48,10,100,17,3000*,10,
03/19/21,16,55,47,5,70,17,3000*,10,
03/19/21,17,15,47,0,0,17*,3000*,10,
03/19/21,17,35,47,6,30,17*,3000*,10,
03/19/21,17,55,46,5,70,17*,3000*,10,
03/19/21,18,15,46,3,70,17*,3000*,10,
03/19/21,18,35,44,3,60,17*,3000*,10,
03/19/21,18,55,42,0,0,17*,3000*,10,
03/19/21,19,15,42,0,0,17*,3000*,10,
03/20/21, 8,55,35,9,170,17*,7220,10,
03/20/21, 9,15,38,10,170,17*,7220,10,
03/20/21, 9,35,39,5,160,17*,7220,10,
03/20/21, 9,55,41,6,180,17*,7220,10,
03/20/21,10,15,44,6,160,17*,7220,10,
03/20/21,10,35,45,8,150,18,7220,10,
03/20/21,10,55,46,9,160,18,7220,10,
03/20/21,11,15,47,8,160,16,7220,10,
03/20/21,11,35,48,5,160,16*,7220,10,
03/20/21,11,55,49,7,150,16*,7220,10,
03/20/21,12,15,51,6,150,16*,7220,10,
03/20/21,12,35,51,7,150,16*,7220,10,
03/20/21,12,55,52,6,150,16*,7220,10,
03/20/21,13,15,53,5,150,16*,7220,10,
03/20/21,13,35,53,6,160,16*,7220,10,
03/20/21,13,55,53,9,150,16*,7220,10,
03/20/21,14,15,54,6,130,16*,7220,10,
03/20/21,14,35,54,5,140,16*,7220,10,
03/20/21,14,55,55,8,150,16*,7220,10,
03/20/21,15,15,56,5,130,16*,7220,10,
03/20/21,15,35,56,8,160,16*,7220,10,
03/20/21,15,55,56,3,210,16*,7220,10,
03/20/21,16,15,56,5,190,16*,7220,10,
03/20/21,16,35,56,7,140,16*,7220,10,
03/20/21,16,55,56,6,130,16*,7220*,10,
03/20/21,17,15,56,3,210,16*,7220*,10,
03/20/21,17,35,55,7,130,16*,7220*,10,
03/20/21,17,55,55,7,130,16*,7220*,10,
03/20/21,18,15,54,6,140,16*,7220*,10,
03/20/21,18,35,52,7,130,16*,7220*,10,
03/20/21,18,55,49,9,110,16*,7220*,10,
03/20/21,19,15,48,6,120,16*,7220*,10,
03/21/21, 8,15,37,11,180,16*,7220*,10,
03/21/21, 8,35,40,9,180,16*,7220*,10,
03/21/21, 8,55,43,6,170,16*,7220*,10,
03/21/21, 9,15,46,6,140,16*,7220*,10,
03/21/21, 9,35,49,8,150,16*,7220*,10,
03/21/21, 9,55,52,10,150,16*,7220*,10,
03/21/21,10,15,54,7,190,16*,7220*,10,
03/21/21,10,35,56,8,180,16*,7220*,10,
03/21/21,10,55,58,7,200,16*,7220*,10,
03/21/21,11,15,58,9,190,16,7220*,10,
03/21/21,11,35,60,9,200,16,7220*,10,
03/21/21,11,55,60,8,190,16*,7220*,10,
03/21/21,12,15,61,10,170,17,7220*,10,
03/21/21,12,35,62,13,180,18,7220*,10,
03/21/21,12,55,63,14,180,22,7220*,10,
03/21/21,13,15,63,13,150,20,7220*,10,
03/21/21,13,35,65,9,170,17,7220*,10,
03/21/21,13,55,63,10,170,20,7220*,10,
03/21/21,14,15,64,10,180,24,7220*,10,
03/21/21,14,35,64,11,170,23,7220*,10,
03/21/21,14,55,64,15,160,21,7220*,10,
03/21/21,15,15,64,16,160,22,7220*,10,
03/21/21,15,35,64,13,160,23,7220*,10,
03/21/21,15,55,64,10,160,21,7220*,10,
03/21/21,16,15,63,13,160,24,7220*,10,
03/21/21,16,35,63,11,190,23,7220*,10,
03/21/21,16,55,64,13,170,20,7220*,10,
03/21/21,17,15,62,5,200,21,7220*,10,
03/21/21,17,35,62,9,180,20,7220*,10,
03/21/21,17,55,61,13,170,20,7220*,10,
03/21/21,18,15,60,15,170,21,7220*,10,
03/21/21,18,35,58,13,180,17,7220*,10,
03/21/21,18,55,54,9,190,17*,7220*,10,
03/21/21,19,15,53,13,190,17*,7220*,10,
